Name,Center Latitude,Center Longitude,Distance from South Pole
﻿Klute W 3,38.098,216.9385,3884.3605426327003
﻿Klute W 4,37.8581,216.8911,3877.0859708659473
﻿Klute W 5,38.1018,216.9323,3884.4757713643116
﻿Klute W 6,38.1256,216.901,3885.1974671044063
﻿Lacus Mortis Pit,44.9608,25.6119,4092.4636319235537
﻿Lalande 1,-4.4579,351.4667,2593.9230743176377
﻿Lalande 12,-4.4275,351.4436,2594.844904170531
﻿Lalande 13,-4.3571,351.3054,2596.9796680403915
﻿Lalande 2,-4.4949,351.4992,2592.801110351944
﻿Lalande 3a,-4.5322,351.4893,2591.670049381123
﻿Lalande 3b,-4.5328,351.4895,2591.651855370869
﻿Lalande 3c,-4.5312,351.49,2591.700372731547
﻿Lalande 5a,-4.3408,351.4229,2597.4739386523056
﻿Mare Ingenii Pit,-35.9494,166.0559,1638.9952844355346
﻿Mare Insularum Pit,8.6861,330.9665,2992.4931922926585
﻿Mare Moscoviense Pit,29.5025,150.4647,3623.7161840619237
﻿Mare Serenitatis Pit,35.1041,17.4017,3793.5754637978403
﻿Mare Tranquillitatis Pit,8.3355,33.222,2981.8618256339514
﻿Marius Hills Pit,14.0917,303.2299,3156.4090953454406
﻿Messier A 1,-2.0279,46.8995,2667.6088158483203
﻿Messier A 2a,-2.014,46.9059,2668.030310419216
﻿Messier A 2b,-2.0166,46.9017,2667.951469708113
﻿Messier A 4a,-2.044,46.8825,2667.1206099064916
﻿Messier A 4b,-2.0459,46.8839,2667.062995540686
﻿Milichius A 1,9.2642,327.9268,3010.023121172859
﻿North Procellarum 1 Pit,35.4097,314.3602,3802.8422796874593
﻿North Procellarum 2 Pit,35.3433,314.3447,3800.828809219296
﻿Oday 1,-30.9692,158.0535,1790.0116342178833
﻿Oday 2,-30.9463,158.0644,1790.7060389425965
﻿Ohm 1,18.0805,246.3187,3277.362875517288
﻿Ohm 2,18.6687,246.4141,3295.199070236773
﻿Palitzsch B 1,-26.3162,68.1911,1931.1061837414506
﻿Philolaus 1,72.4657,328.5804,4926.504353004743
﻿Picard 1,14.4714,54.6591,3167.9228715014906
﻿Proclus 1a,16.2972,46.8941,3223.2872447059026
