Host Feat.,Name,Lat.,Long.,Funnel Max Diam. (m),Funnel Min Diam. (m),Inner Max Diam. (m),Inner Max Diam. Sorting,Inner Min Diam. (m),Inner Min Diam. Sorting,Azimuth,Depth (m),Depth Sorting
Stevinus,Stevinus 13,-32.449,54.6446,8,7,4,4,4,4,0,4.0,4.0
Stevinus,Stevinus 14a,-32.1634,54.7124,20,16,14,14,12,12,115,14.0,14.0
Stevinus,Stevinus 14b,-32.1643,54.7118,12,9,9,9,7,7,65,5.0,5.0
Stevinus,Stevinus 15,-32.3568,54.9433,42,34,18,18,11,11,40,10.0,10.0
Stevinus,Stevinus 16,-32.1817,54.5943,28,23,17,17,13,13,115,11.0,11.0
Stevinus,Stevinus 17,-32.3695,53.6121,18,14,5,5,4,4,30,7.0,7.0
Stevinus,Stevinus 18,-32.1226,54.8746,21,13,9,9,9,9,140,6.0,6.0
Stevinus,Stevinus 19,-32.9337,53.7983,25,14,16,16,6,6,120,>13.0,13.0
Stevinus,Stevinus 2,-32.4828,54.5722,22,18,9,9,4,4,15,>7.0,7.0
Stevinus,Stevinus 22,-32.9349,53.9595,44,41,38,38,35,35,40,9.0,9.0
Stevinus,Stevinus 23,-32.9642,54.0249,14,14,7,7,4,4,30,>8.0,8.0
Stevinus,Stevinus 24,-32.7823,54.2992,12,12,N/A,,N/A,,0,4.0,4.0
Stevinus,Stevinus 25,-32.7393,54.2171,14,13,4,4,4,4,0,6.0,6.0
Stevinus,Stevinus 26,-32.1328,54.865,13,10,7,7,3,3,35,>9.0,9.0
Stevinus,Stevinus 3,-32.8592,54.0796,56,45,15,15,6,6,40,9.0,9.0
Stevinus,Stevinus 4,-32.7245,54.1735,15,15,11,11,10,10,30,8.0,8.0
Stevinus,Stevinus 5,-32.4519,54.6746,18,17,6,6,6,6,0,6.0,6.0
Stevinus,Stevinus 6,-32.3828,54.6579,13,8,7,7,4,4,45,7.0,7.0
Stevinus,Stevinus 7,-32.3554,54.7126,14,12,7,7,4,4,103,>7.0,7.0
Stevinus,Stevinus 8,-32.3088,54.6614,10,8,5,5,4,4,130,>6.0,6.0
Stevinus,Stevinus 9a,-32.9401,54.7446,22,13,7,7,7,7,145,6.0,6.0
Stevinus,Stevinus 9b,-32.9401,54.7446,N/A,N/A,6,6,4,4,155,>9.0,9.0
Tharp,Tharp 1a,-30.6002,145.6809,140,121,116,116,88,88,10,23.0,23.0
