Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Bjerknes,-38.5,113.69,"Planetographic, +East, -180 - 180",1561.6525468436985
﻿Black,-9.2,80.39,"Planetographic, +East, -180 - 180",2450.126714271278
﻿Blackett,-37.55,-115.84,"Planetographic, +East, -180 - 180",1590.4597297466403
﻿Blagg,1.22,1.46,"Planetographic, +East, -180 - 180",2766.096025690916
﻿Blancanus,-63.77,-21.63,"Planetographic, +East, -180 - 180",795.3814816254409
﻿Blanchard,-58.25,-93.5,"Planetographic, +East, -180 - 180",962.7663759667462
﻿Blanchinus,-25.32,2.44,"Planetographic, +East, -180 - 180",1961.3143054339885
﻿Blazhko,31.37,-147.86,"Planetographic, +East, -180 - 180",3680.345040979023
﻿Bliss,53.04,-13.78,"Planetographic, +East, -180 - 180",4337.452044670342
﻿Bobillier,19.63,15.44,"Planetographic, +East, -180 - 180",3324.3489069995076
﻿Bobone,26.7,-132.12,"Planetographic, +East, -180 - 180",3538.7349944982443
﻿Bode,6.71,-2.45,"Planetographic, +East, -180 - 180",2932.571219519496
﻿Boethius,5.57,72.33,"Planetographic, +East, -180 - 180",2898.0026000359658
﻿Boguslawsky,-72.9,43.26,"Planetographic, +East, -180 - 180",518.529292252956
﻿Bohnenberger,-16.24,40.06,"Planetographic, +East, -180 - 180",2236.650327285266
﻿Bohr,12.71,-86.52,"Planetographic, +East, -180 - 180",3114.5113220643934
﻿Bok,-20.26,-171.58,"Planetographic, +East, -180 - 180",2114.7504585801844
﻿Boltzmann,-74.82,-90.41,"Planetographic, +East, -180 - 180",460.3084594385895
﻿Bolyai,-33.85,126.12,"Planetographic, +East, -180 - 180",1702.6561263159938
﻿Bombelli,5.28,56.19,"Planetographic, +East, -180 - 180",2889.2088284129622
﻿Bondarenko,-17.24,136.89,"Planetographic, +East, -180 - 180",2206.3269768611167
﻿Bonpland,-8.38,-17.33,"Planetographic, +East, -180 - 180",2474.9918616190807
﻿Boole,63.79,-87.29,"Planetographic, +East, -180 - 180",4663.42806172995
﻿Borda,-25.2,46.52,"Planetographic, +East, -180 - 180",1964.953107484887
﻿Borel,22.37,26.42,"Planetographic, +East, -180 - 180",3407.4348871616776
﻿Boris,30.53,-33.5,"Planetographic, +East, -180 - 180",3654.8734266227375
﻿Borman,-39.06,-148.25,"Planetographic, +East, -180 - 180",1544.6714706061748
﻿Born,-6.05,66.83,"Planetographic, +East, -180 - 180",2545.645268107349
﻿Borya,38.28,-35.01,"Planetographic, +East, -180 - 180",3889.879392409896
﻿Bosch,86.82,133.54,"Planetographic, +East, -180 - 180",5361.774821998105
﻿Boscovich,9.71,11.01,"Planetographic, +East, -180 - 180",3023.541270791945
﻿Bose,-53.95,-169.36,"Planetographic, +East, -180 - 180",1093.1567827905892
﻿Boss,45.75,88.68,"Planetographic, +East, -180 - 180",4116.3948200782925
﻿Bouguer,52.32,-35.82,"Planetographic, +East, -180 - 180",4315.619232364955
﻿Boussingault,-70.21,53.73,"Planetographic, +East, -180 - 180",600.0991048939184
﻿Bowditch,-24.97,103.07,"Planetographic, +East, -180 - 180",1971.9274780824412
﻿Bowen,17.63,9.1,"Planetographic, +East, -180 - 180",3263.702206151209
﻿Boyle,-53.29,177.89,"Planetographic, +East, -180 - 180",1113.1701940705277
﻿Brackett,17.84,23.54,"Planetographic, +East, -180 - 180",3270.07010974028
﻿Bragg,42.33,-103.44,"Planetographic, +East, -180 - 180",4012.6889616277012
