Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Archimedes,Archimedes,Moon,81.04,29.72,-3.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Greek physicist, mathematician (c. 287-212 B.C.)."
Archytas,Archytas,Moon,31.95,58.87,4.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek mathematician (428-347 B.C. ?).
Argelander,Argelander,Moon,33.72,-16.55,5.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Friedrich Wilhelm August; German astronomer (1799-1875).
Ariadaeus,Ariadaeus,Moon,10.40,4.55,17.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Philip III of Macedonia; chronologer (c. 358-317 B.C.).
Aristarchus,Aristarchus,Moon,39.99,23.73,-47.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (310-230 B.C. ?).
Aristillus,Aristillus,Moon,54.37,33.88,1.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (fl. c. 280 B.C.).
Aristoteles,Aristoteles,Moon,87.57,50.24,17.32,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Greek astronomer, philosopher (383-322 B.C.)."
Armiński,Arminski,Moon,26.76,-16.36,154.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Franciszek; Polish astronomer (1789-1848). (Spelling changed from Armínski.)
Armstrong,Armstrong,Moon,4.21,1.35,24.94,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Neil Alden; American astronaut (1930-2012).
Arnold,Arnold,Moon,93.13,66.98,35.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Christoph; German astronomer (1650-1695).
Arrhenius,Arrhenius,Moon,40.93,-55.58,-91.45,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Svante August; Swedish chemist; Nobel laureate (1859-1927).
Artamonov,Artamonov,Moon,62.45,25.44,103.79,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolaj N.; Soviet rocket scientist (1906-1965).
Artem'ev,Artem ev,Moon,66.39,10.40,-145.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vladimir Andreevich; Soviet rocket scientist (1885-1962).
Artemis,Artemis,Moon,2.28,25.03,-25.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek female first name.
Artsimovich,Artsimovich,Moon,7.96,27.61,-36.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lev Andreevich; Soviet physicist (1909-1973).
Aryabhata,Aryabhata,Moon,21.89,6.20,35.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Aryabhata I; Indian astronomer, mathematician (476-c.550)."
Arzachel,Arzachel,Moon,96.99,-18.26,-1.93,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Al-Zarqālī; Spanish-Arabic astronomer (died 1100).
Asada,Asada,Moon,12.37,7.25,49.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Goryu; Japanese astronomer (1734-1799).
Asclepi,Asclepi,Moon,40.56,-55.19,25.52,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giuseppe Maria; Italian astronomer (1706-1776).
Ashbrook,Ashbrook,Moon,157.68,-81.10,-110.58,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph; American astronomer (1918-1980).
Aston,Aston,Moon,44.48,32.77,-87.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Francis William; British chemist, physicist; Nobel laureate (1877-1945)."
Atlas,Atlas,Moon,88.12,46.74,44.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Mythological Greek Titan.
Atwood,Atwood,Moon,28.64,-5.88,57.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"George; British mathematician, physicist (1746-1807)."
Autolycus,Autolycus,Moon,38.88,30.68,1.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Autolycus of Pitane; Greek astronomer (fl. c. 310 B.C.).
Auwers,Auwers,Moon,19.64,15.00,17.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg Friedrich Julius Arthur; German astronomer (1838-1915).
Auzout,Auzout,Moon,32.92,10.21,64.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Adrien; French astronomer, physicist (1622-1691)."
Avery,Avery,Moon,10.73,-1.32,81.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Oswald Theodore; Canadian doctor (1877-1955).
Avicenna,Avicenna,Moon,72.99,39.63,-97.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Abu Ali Al-Hussein Ibn Abdallah; Persian doctor (980-1037).
Avogadro,Avogadro,Moon,129.84,63.21,165.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Amedeo (Conte Di Quarengna); Italian physicist (1776-1856).
Azophi,Azophi,Moon,47.54,-22.19,12.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Al-Sufi, Abderrahman; Persian astronomer (903-986)."
Baade,Baade,Moon,57.85,-44.75,-82.03,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wilhelm Heinrich Walter; American astronomer (1893-1960).
Babakin,Babakin,Moon,19.15,-20.81,123.26,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georgii Nikolaevich; Soviet space scientist (1914-1971).
Babbage,Babbage,Moon,146.56,59.56,-57.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles; British mathematician (1792-1871).
Babcock,Babcock,Moon,95.28,4.13,94.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Harold Delos; American astronomer, physicist (1882-1968)."
Back,Back,Moon,34.63,1.20,80.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ernst Emil Alexander; German physicist (1881-1959).
Backlund,Backlund,Moon,75.46,-16.22,103.35,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jöns Oskar; Russian astronomer (1846-1916).
Baco,Baco,Moon,65.31,-51.04,19.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Bacon, Roger; British natural philosopher, optician (c. 1214-c. 1294)."
Baillaud,Baillaud,Moon,89.44,74.61,37.35,"Planetographic, +East, -180 - 180","Crater, craters",Approved,(Édouard) Benjamin; French astronomer (1848-1934).
Bailly,Bailly,Moon,300.56,-66.82,-68.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean Sylvain; French astronomer (1736-1793).
Baily,Baily,Moon,25.68,49.78,30.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francis; British astronomer (1774-1844).
Balandin,Balandin,Moon,11.81,-18.94,152.58,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksey Aleksandrovich; Soviet chemist (1898-1967).
Balboa,Balboa,Moon,69.19,19.24,-83.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vasco Nuñez de; Spanish explorer (1475-1519).
Baldet,Baldet,Moon,55.76,-53.32,-151.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Fernand; French astronomer (1885-1964).
Ball,Ball,Moon,40.31,-35.92,-8.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William; British astronomer (unkn-1690).
Ballet,Ballet,Moon,0.01,20.17,30.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Astronaut-named feature, Apollo 17 site."
Balmer,Balmer,Moon,136.30,-20.27,70.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann Jakob; Swiss mathematician, physician (1825-1898)."
Banachiewicz,Banachiewicz,Moon,99.09,5.28,80.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Tadeusz; Polish astronomer, mathematician (1882-1954)."
Bancroft,Bancroft,Moon,12.50,28.07,-6.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wilder Dwight; American chemist (1867-1953).
Bandfield,Bandfield,Moon,1.00,-5.40,90.77,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joshua; American planetary scientist (1974-2019).
Banting,Banting,Moon,5.15,26.58,16.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Frederick Grant; Canadian doctor; Nobel laureate (1891-1941).
Barbier,Barbier,Moon,65.38,-23.85,157.93,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Daniel; French astronomer (1907-1965).
Barkla,Barkla,Moon,40.90,-10.67,67.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles Glover; British physicist; Nobel laureate (1877-1944).
Barnard,Barnard,Moon,115.73,-29.79,85.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Edward Emerson; American astronomer (1857-1923).
Barocius,Barocius,Moon,82.72,-44.98,16.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francesco; Italian mathematician (1537-1604).
Barringer,Barringer,Moon,66.89,-28.22,-150.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Daniel Moreau; American engineer, geologist (1860-1929)."
Barrow,Barrow,Moon,93.82,71.28,7.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Isaac; British mathematician (1630-1677).
Bartels,Bartels,Moon,54.95,24.51,-89.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Julius; German geophysicist (1899-1964).
Bawa,Bawa,Moon,1.57,-25.28,102.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,African male name.
Bayer,Bayer,Moon,48.51,-51.62,-35.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann; German astronomer (1572-1625).
Beals,Beals,Moon,52.61,37.11,86.58,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carlyle Smith; Canadian astronomer (1899-1979).
Beaumont,Beaumont,Moon,50.69,-18.08,28.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Baptiste-Armand-Louis-Léonce Élie de; French geologist (1798-1874).
Becquerel,Becquerel,Moon,62.86,40.79,129.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Antoine-Henri; French physicist; Nobel laureate (1852-1908).
Bečvář,Becvar,Moon,66.62,-2.57,125.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Antonin; Czechoslovakian astronomer (1901-1965).
Beer,Beer,Moon,9.06,27.07,-9.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wilhelm; German astronomer (1797-1850).
Behaim,Behaim,Moon,56.21,-16.61,79.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Martin; German navigator, cartographer (1459-1507)."
Beijerinck,Beijerinck,Moon,76.77,-13.40,151.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Martinus Willem; Dutch botanist (1851-1931).
Beketov,Beketov,Moon,8.30,16.23,29.18,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolai Nikolaevich; Russian chemist (1827-1911).
Béla,Bela,Moon,10.07,24.67,2.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Hungarian male name, also Slovak female name."
Bel'kovich,Belkovich,Moon,215.08,61.53,90.15,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Igor V.; Soviet astronomer (1904-1949).
Bell,Bell,Moon,86.33,21.98,-96.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alexander Graham; Scottish-American inventor (1847-1922).
Bellinsgauzen (Bellingshausen),Bellinsgauzen  Bellingshausen,Moon,63.23,-60.72,-164.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Faddei Faddeevich; Russian explorer (1778-1852).
Bellot,Bellot,Moon,17.50,-12.48,48.19,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph Rene; French explorer (1826-1853).
Belopol'skiy,Belopol skiy,Moon,61.90,-17.25,-128.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aristarch Apollonovich; Russian astronomer (1854-1934).
Belyaev,Belyaev,Moon,55.90,23.10,143.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Pavel Ivanovich; Soviet cosmonaut (1925-1970).
Benedict,Benedict,Moon,13.83,4.35,141.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Francis Gano; American chemist, physiologist (1870-1957)."
