Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Joy,Joy,Moon,5.12,25.01,6.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alfred Harrison; American astronomer (1882-1973).
Jules Verne,Jules Verne,Moon,145.54,-34.85,147.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,French writer (1828-1905).
Julienne,Julienne,Moon,1.80,26.06,3.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,French female name.
Julius Caesar,Julius Caesar,Moon,84.72,9.17,15.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Roman emperor, introduced the Julian calendar (c. 102-44 B.C.)."
Kaiser,Kaiser,Moon,53.15,-36.49,6.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Frederick; Dutch astronomer (1808-1872).
Kamerlingh Onnes,Kamerlingh Onnes,Moon,70.03,14.72,-116.29,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heike Kamerlingh Onnes; Dutch physicist; Nobel laureate (1853-1926).
Kane,Kane,Moon,54.96,62.99,25.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Elisha Kent; American explorer (1820-1857).
Kant,Kant,Moon,30.85,-10.62,20.20,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Immanuel; German philosopher (1724-1804).
Kao,Kao,Moon,34.54,-6.71,87.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ping-Tse; Taiwanese astronomer (1888-1970).
Kapteyn,Kapteyn,Moon,48.65,-10.79,70.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jacobus Cornelis; Dutch astronomer (1851-1922).
Karima,Karima,Moon,3.05,-25.93,102.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arabic female name.
Karpinskiy,Karpinskiy,Moon,91.40,72.61,166.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alexander Petrovich; Soviet geologist (1846-1936).
Karrer,Karrer,Moon,55.56,-52.06,-142.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Paul; Russian/Swiss biochemist; Nobel laureate (1889-1971).
Kasper,Kasper,Moon,12.39,8.30,122.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Polish male name.
Kästner,Kastner,Moon,116.08,-6.90,78.94,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Abraham Gotthelf; German mathematician, physicist (1719-1800)."
Katchalsky,Katchalsky,Moon,32.30,5.91,116.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Katzir-Katchalsky, Aharon; Polish-Israeli chemist (1914-1972)."
Kathleen,Kathleen,Moon,5.37,25.34,-0.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Irish female name.
Kearons,Kearons,Moon,27.99,-11.59,-112.92,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William Maybrick; American astronomer (1878-1948).
Keeler,Keeler,Moon,158.07,-9.78,161.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,James Edward; American astronomer (1857-1900).
Kekulé,Kekule,Moon,94.22,16.31,-138.47,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Friedrich August; German chemist (1829-1896).
Keldysh,Keldysh,Moon,32.75,51.23,43.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Mstislav Vsevolodovich; Soviet mathematician (1911-1978).
Kepínski,Kepinski,Moon,31.67,28.63,126.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Felicjan; Polish astronomer (1885-1966).
Kepler,Kepler,Moon,29.49,8.12,-38.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johannes; German astronomer (1571-1630).
Khvol'son,Khvol son,Moon,55.88,-14.13,111.87,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Orest Danilovich; Soviet physicist (1852-1934).
Kibal'chich,Kibal chich,Moon,91.67,2.72,-147.18,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolaj Ivanovich; Russian rocketry scientist (1853-1881).
Kidinnu,Kidinnu,Moon,55.10,35.79,122.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Or Cidenas; Babylonian astronomer (unkn-c. 343 B.C.).
Kies,Kies,Moon,45.54,-26.31,-22.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann; German mathematician, astronomer (1713-1781)."
Kiess,Kiess,Moon,67.79,-6.41,84.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl Clarence; American astrophysicist (1887-1967).
Kimura,Kimura,Moon,27.44,-56.82,118.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hisashi; Japanese astronomer (1870-1943).
Kinau,Kinau,Moon,41.87,-60.75,14.94,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Adolph Gottfried; German selenographer (1814-1887).
King,King,Moon,76.21,4.96,120.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arthur Scott; American physicist (1876-1957); Edward Skinner; American astronomer (1861-1931).
Kira,Kira,Moon,6.81,-17.71,132.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Russian female name.
Kirch,Kirch,Moon,11.71,39.27,-5.62,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gottfried; German astronomer (1639-1710).
Kircher,Kircher,Moon,71.20,-67.01,-45.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Athanasius; German humanitarian (1601-1680).
Kirchhoff,Kirchhoff,Moon,24.38,30.30,38.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gustav Robert; German physicist (1824-1887).
Kirkwood,Kirkwood,Moon,68.12,68.34,-156.66,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Daniel; American astronomer (1814-1895).
Klaproth,Klaproth,Moon,121.37,-69.85,-26.26,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Martin Heinrich; German chemist, mineralogist (1743-1817)."
Klein,Klein,Moon,43.47,-11.99,2.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hermann Joseph; German astronomer (1844-1914).
Kleymenov,Kleymenov,Moon,55.98,-32.48,-140.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ivan Terent'evich; Soviet rocketry scientist (1898-1938).
Klute,Klute,Moon,77.47,36.93,-141.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Daniel O'Donnell; American rocketry scientist (1921-1964).
Knox-Shaw,Knox Shaw,Moon,13.44,5.36,80.19,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Harold; British astronomer (1885-1970).
Koch,Koch,Moon,94.70,-42.13,150.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Robert; German doctor; Nobel laureate (1843-1910).
Kocher,Kocher,Moon,24.03,-84.47,-134.02,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Emil Theodor; Swiss surgeon, Nobel Prize winner 1909 (1841-1917)."
Kohlschütter,Kohlschutter,Moon,56.25,14.24,153.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arnold; German astronomer (1883-1969).
Kolhörster,Kolhorster,Moon,78.78,10.79,-115.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Werner; German physicist (1887-1946).
Kolya,Kolya,Moon,0.14,38.31,-35.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Russian male name, diminutive from Greek-derived Nicholas (Lunokhod-1 landing site feature)."
Komarov,Komarov,Moon,80.43,24.59,152.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vladimir Mikhaylovich; Soviet cosmonaut (1927-1967).
Kondratyuk,Kondratyuk,Moon,97.97,-15.33,115.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Yury Vasilyevich; Soviet rocketry scientist (1897-1942).
König,Konig,Moon,22.86,-24.23,-24.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Rudolf; Austrian mathematician, astronomer (1865-1927)."
Konoplev,Konoplev,Moon,27.67,-28.16,-124.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,B.T.; Soviet radio engineer (1912-1960).
Konstantinov,Konstantinov,Moon,68.08,19.56,158.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Konstantin Ivanovich; Russian rocketry scientist (1817-1871).
Kopff,Kopff,Moon,40.49,-17.39,-89.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,August; German astronomer (1882-1960).
Korolev,Korolev,Moon,423.41,-4.19,-157.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sergey Pavlovich; Soviet rocketry scientist (1906-1966).
Kosberg,Kosberg,Moon,14.63,-20.19,149.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,C. A.; Soviet aeronaut (1903-1965).
Kostinskiy,Kostinskiy,Moon,67.91,14.43,118.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sergey Konstantinovich; Soviet astronomer (1867-1936).
Kostya,Kostya,Moon,0.13,38.26,-35.02,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Latin-derived male name Konstantin in Russian diminutive form (Lunokhod-1 landing site feature).
Kovalevskaya,Kovalevskaya,Moon,113.71,30.86,-129.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sofya Vasilyevna; Russian mathematician (1850-1891).
Koval'skiy,Koval skiy,Moon,44.97,-21.89,101.03,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Marian Albertovich; Russian astronomer (1821-1884). (Spelling changed from Koval'skij.)
Kozyrev,Kozyrev,Moon,59.35,-46.64,129.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolai Alexandrovich; Soviet astronomer (1908-1983).
Krafft,Krafft,Moon,51.15,16.56,-72.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Wolfgang Ludwig; German-Russian astronomer, physicist (1743-1814)."
Kramarov,Kramarov,Moon,21.05,-2.29,-98.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Grigory Moiseevich; Soviet space scientist (1887-1970).
Kramers,Kramers,Moon,61.59,53.28,-127.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hendrik Anthony; Dutch physicist (1894-1952).
Krasnov,Krasnov,Moon,41.17,-29.93,-79.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksander V.; Russian astronomer (1866-1907).
Krasovskiy,Krasovskiy,Moon,61.67,3.79,-175.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Theodosy Nicolaevich; Soviet geodesist (1878-1948).
Kreiken,Kreiken,Moon,29.37,-9.05,84.55,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Egbert Adriaan; Dutch astronomer (1896-1964).
Krieger,Krieger,Moon,22.87,29.02,-45.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Nepomuk; German selenographer (1865-1902).
Krogh,Krogh,Moon,19.17,9.41,65.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Schack August Steenberg; Danish zoologist, physiologist; Nobel laureate (1874-1949)."
Krusenstern,Krusenstern,Moon,46.44,-26.30,5.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Adam Johann, Baron Von; Russian explorer (1770-1846)."
Krylov,Krylov,Moon,49.83,35.26,-166.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Aleksei Nikolaevich; Soviet mathematician, mechanical engineer (1863-1945)."
Kugler,Kugler,Moon,65.87,-53.44,104.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Franz Xaver; German-Babylonian chronologist (1862-1929).
Kuhn,Kuhn,Moon,16.61,-84.48,-152.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Richard; Austrian chemist, Nobel Prize winner 1938; (1900-1967)."
Kuiper,Kuiper,Moon,6.28,-9.78,-22.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gerard Peter; Dutch-American astronomer (1905-1973).
Kulik,Kulik,Moon,60.46,41.98,-154.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leonid Alekseevich; Soviet mineralogist (1883-1942).
Kundt,Kundt,Moon,10.31,-11.57,-11.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,August Adolph Eduard Eberhard; German physicist (1839-1894).
Kunowsky,Kunowsky,Moon,18.27,3.22,-32.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg Karl Friedrich; German astronomer (1786-1846).
Kuo Shou Ching,Kuo Shou Ching,Moon,33.48,8.10,-134.66,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chinese astronomer (1231-1316).
Kurchatov,Kurchatov,Moon,110.96,38.30,141.74,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Igor' Vasil'evich; Soviet nuclear physicist (1903-1960).
La Caille,La Caille,Moon,67.22,-23.68,1.08,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nicholas-Louis De; French astronomer (1713-1762).
Lacchini,Lacchini,Moon,57.95,41.29,-107.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni; Italian astronomer (1884-1967).
La Condamine,La Condamine,Moon,37.83,53.54,-28.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Charles-Marie de; French astronomer, physicist (1701-1774)."
Lacroix,Lacroix,Moon,36.07,-37.93,-59.20,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sylvestre Francois; French mathematician (1765-1843).
Lade,Lade,Moon,58.11,-1.33,9.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich Eduard von; German astronomer (1817-1904).
Lagalla,Lagalla,Moon,88.78,-44.48,-22.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giulio Cesare; Italian philosopher (1571-1624).
Lagrange,Lagrange,Moon,162.21,-32.60,-71.45,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph Louis; Italian mathematician (1736-1813).
Lalande,Lalande,Moon,23.54,-4.46,-8.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph Jérôme Le François de; French astronomer (1732-1807).
Lallemand,Lallemand,Moon,16.69,-14.40,-84.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Andre; French astronomer (1904-1978).
Lamarck,Lamarck,Moon,114.66,-23.12,-70.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean Baptiste Pierre Antoine de Monet; French natural historian (1744-1829).
Lamb,Lamb,Moon,103.55,-42.67,100.94,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sir Horace; British mathematician, physicist (1849-1934)."
Lambert,Lambert,Moon,30.12,25.77,-20.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann Heinrich; German astronomer, mathematician, physicist (1728-1777)."
Lamé,Lame,Moon,84.28,-14.76,64.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gabriel; French mathematician (1795-1870).
Lamèch,Lamech,Moon,12.41,42.79,13.15,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Felix Chemla; French selenographer (1894-1962).
Lamont,Lamont,Moon,83.23,5.14,23.32,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann von; Scottish-born German astronomer (1805-1879).
Lampland,Lampland,Moon,63.04,-31.17,131.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl Otto; American astronomer (1873-1951).
Landau,Landau,Moon,218.15,42.16,-119.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lev Davidovich; Soviet physicist; Nobel laureate (1908-1968).
Lander,Lander,Moon,40.05,-15.34,131.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Richard Lemon; British explorer (1804-1834).
Landsteiner,Landsteiner,Moon,6.11,31.30,-14.79,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Karl; Austrian-American pathologist; Nobel laureate (1868-1943).
Lane,Lane,Moon,53.76,-9.50,132.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jonathan Homer; American physicist, astrophysicist (1819-1880)."
Langemak,Langemak,Moon,104.76,-9.93,119.45,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georgij Erikhovich; Soviet rocketry scientist (1898-1938).
Langevin,Langevin,Moon,57.80,44.17,162.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Paul; French physicist (1872-1946).
Langley,Langley,Moon,59.17,51.17,-86.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Samuel Pierpont; American astronomer, physicist (1834-1906)."
Langmuir,Langmuir,Moon,91.50,-35.85,-128.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Irving; American physicist, chemist; Nobel laureate (1881-1957)."
Langrenus,Langrenus,Moon,131.98,-8.86,61.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Langren, Michel Florent van; Belgian selenographer, engineer (c. 1600-1675)."
Lansberg,Lansberg,Moon,38.75,-0.31,-26.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Philippe van; Belgian astronomer (1561-1632).
La Pérouse,La Perouse,Moon,80.40,-10.67,76.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jean Francois de Galoup, Comte De La Pérouse; French explorer (1741-1788)."
Larmor,Larmor,Moon,99.49,31.85,-179.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sir Joseph; British mathematician, physicist (1857-1942)."
Lassell,Lassell,Moon,21.82,-15.49,-7.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William; British astronomer (1799-1880).
Laue,Laue,Moon,89.17,28.29,-97.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Max Theodor Felix von; German physicist; Nobel laureate (1879-1960).
Lauritsen,Lauritsen,Moon,51.24,-27.54,96.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles Christian; Danish-American physicist (1892-1968).
Laveran,Laveran,Moon,12.52,-81.80,-159.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Charles Louis Alphonse; French physician, Nobel Prize winner 1907 (1845-1922)."
Lavoisier,Lavoisier,Moon,71.01,38.17,-81.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Antoine Laurent; French chemist (1743-1794).
Lawrence,Lawrence,Moon,24.02,7.35,43.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Ernest Orlando; American physicist; Nobel laureate (1901-1958), and Robert Henry, Jr.; American astronaut (1935-1967)."
L. Clark,L  Clark,Moon,15.30,-43.34,-147.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Laurel Blair Salton; American astronaut, Space Shuttle Columbia Mission Specialist (1961-2003)."
Leakey,Leakey,Moon,12.48,-3.19,37.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Louis Seymour Bazett; British archaeologist (1903-1972).
Leavitt,Leavitt,Moon,69.31,-44.86,-139.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henrietta Swan; American astronomer (1868-1921).
Lebedev,Lebedev,Moon,121.80,-46.80,107.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Pëtr Nikolajevich; Russian physicist (1866-1912).
Lebedinskiy,Lebedinskiy,Moon,63.39,7.84,-164.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr I.; Soviet astrophysicist (1913-1967).
Lebesgue,Lebesgue,Moon,11.39,-5.14,88.97,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henri Leon; French mathematician (1875-1941).
Lee,Lee,Moon,41.17,-30.66,-40.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"John; British astronomer, humanitarian (1783-1866)."
Leeuwenhoek,Leeuwenhoek,Moon,125.00,-29.28,-178.87,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Antony van; Dutch microscopist (1632-1723).
Legendre,Legendre,Moon,78.08,-28.92,70.02,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Adrien Marie; French mathematician (1752-1833).
Le Gentil,Le Gentil,Moon,125.38,-74.27,-76.02,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Guillaume Hyazinthe; French astronomer (1725-1792).
Lehmann,Lehmann,Moon,53.85,-39.96,-56.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jacob Heinrich Wilhelm; German astronomer (1800-1863).
Leibnitz,Leibnitz,Moon,236.67,-38.24,179.35,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Gottfried Wilhelm; German mathematician, philosopher (1646-1716)."
Lemaître,Lemaitre,Moon,93.70,-61.36,-149.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georges Henri Joseph Édouard; Belgian mathematician (1894-1966).
Le Monnier,Le Monnier,Moon,68.40,26.66,30.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Pierre Charles; French astronomer, physicist (1715-1799)."
Lents (Lenz),Lents  Lenz,Moon,21.98,2.72,-102.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich Friedrich Emil; Russian physicist (1804-1865).
Leonid,Leonid,Moon,0.12,38.31,-35.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Russian male name of Greek origin (Lunokhod-1 landing site feature).
Leonov,Leonov,Moon,34.04,19.07,148.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksey Arkhipovich; Soviet cosmonaut (1934-2019).
Lepaute,Lepaute,Moon,16.36,-33.30,-33.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nicole Reine De La Briere; French astronomer (1723-1788).
Letronne,Letronne,Moon,117.59,-10.50,-42.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean Antoine; French archaeologist (1787-1848).
Leucippus,Leucippus,Moon,57.03,29.24,-116.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek philosopher (unkn-fl. c. 440 B.C.).
Leuschner,Leuschner,Moon,50.14,1.67,-109.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Armin Otto; American astronomer (1868-1953).
Lev,Lev,Moon,0.06,12.71,62.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Russian male name of Hebrew origin.
Le Verrier,Le Verrier,Moon,20.52,40.33,-20.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877)."
Levi-Civita,Levi Civita,Moon,108.22,-23.34,143.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Tullio; Italian mathematician, physicist (1873-1941)."
Lewis,Lewis,Moon,40.32,-18.51,-114.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gilbert Newton; American chemist (1875-1946).
Lexell,Lexell,Moon,63.70,-35.78,-4.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Anders Johan; Swedish-Russian mathematician, astronomer (1740-1784)."
Ley,Ley,Moon,81.05,42.11,154.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Willy; German-American rocketry scientist (1906-1969).
Licetus,Licetus,Moon,75.42,-47.19,6.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Liceti, Fortunio; Italian physicist, philosopher, doctor (1577-1657)."
Lichtenberg,Lichtenberg,Moon,19.53,31.85,-67.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg Christoph; German physicist (1742-1799).
Lick,Lick,Moon,31.63,12.36,52.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,James; American benefactor (1796-1876).
Liebig,Liebig,Moon,38.96,-24.35,-48.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Justus, Baron von Liebig; German chemist (1803-1873)."
Lilius,Lilius,Moon,61.18,-54.60,6.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Luigi Giglio; Italian doctor, philosopher, chronologist (unkn-1576)."
Linda,Linda,Moon,1.11,30.69,-33.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Spanish female name.
Lindbergh,Lindbergh,Moon,13.34,-5.41,52.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles Augustus; American aviator (1902-1974).
Lindblad,Lindblad,Moon,59.37,70.03,-99.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Bertil; Swedish astronomer (1895-1965).
Lindenau,Lindenau,Moon,53.08,-32.35,24.77,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Bernhard von; German astronomer (1780-1854).
Lindsay,Lindsay,Moon,32.23,-7.00,13.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Eric M.; Irish astronomer (1907-1974).
Linné,Linne,Moon,2.23,27.75,11.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl von; Swedish botanist (1707-1778).
Liouville,Liouville,Moon,16.12,2.73,73.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph; French mathematician (1809-1882).
Lippershey,Lippershey,Moon,6.74,-25.96,-10.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hans (Jan Lapprey); Dutch optician (unkn-1619).
Lippmann,Lippmann,Moon,160.07,-55.43,-114.32,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gabriel; French physicist; Nobel laureate (1845-1921).
Lipskiy,Lipskiy,Moon,91.15,-2.15,-179.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Yurii Naumovich; Soviet selenographer (1909-1978).
Litke (Lütke),Litke  Lutke,Moon,38.18,-16.76,123.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Fyodor Petrovich; Russian geographer (1797-1882).
Littrow,Littrow,Moon,28.52,21.50,31.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Josef von; Bohemian astronomer (1781-1840).
Liu Hui,Liu Hui,Moon,1.50,42.88,-52.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chinese mathematician during Wei kingdom (about 225-295).
Lobachevskiy,Lobachevskiy,Moon,87.26,9.76,113.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolay Ivanovich; Russian mathematician (1793-1856).
Lockyer,Lockyer,Moon,35.08,-46.27,36.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Joseph Norman; British astrophysicist (1836-1920).
Lodygin,Lodygin,Moon,56.11,-17.42,-146.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr Nikolaevich; Russian inventor (1847-1923).
Loewy,Loewy,Moon,22.45,-22.69,-32.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Maurice (Moritz); French astronomer (1833-1907).
Lohrmann,Lohrmann,Moon,31.25,-0.44,-67.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wilhelm Gotthelf; German selenographer (1796-1840).
Lohse,Lohse,Moon,43.34,-13.76,60.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Oswald; German astronomer (1845-1915).
Lomonosov,Lomonosov,Moon,90.69,27.35,98.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Mikhail Vasilievich; Russian poet, scientist, and grammarian (1711-1765)."
Longomontanus,Longomontanus,Moon,145.50,-49.55,-21.88,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Christian Sorensen; Danish astronomer, mathematician (1562-1647)."
Lorentz,Lorentz,Moon,378.42,34.59,-97.19,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hendrik Antoon; Dutch physicist; Nobel laureate (1853-1928).
Louise,Louise,Moon,0.64,28.49,-34.20,"Planetographic, +East, -180 - 180","Crater, craters",Approved,French female name.
Louville,Louville,Moon,34.81,44.12,-46.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jacques D'Allonville, Chevalier de Louville; French astronomer, mathematician (1671-1732)."
Love,Love,Moon,90.08,-6.33,129.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Augustus Edward Hough; British mathematician, geophysicist (1863-1940)."
Lovelace,Lovelace,Moon,57.06,82.08,-109.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"William Randolph, II; American doctor, space scientist (1907-1965)."
