Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Rima Hase,-29.4,62.5,"Planetographic, +East, -180 - 180",1837.5950357034585
﻿Rima Hesiodus,-30.54,-21.85,"Planetographic, +East, -180 - 180",1803.026416219928
﻿Rima Hyginus,7.62,6.77,"Planetographic, +East, -180 - 180",2960.165468405472
﻿Rima Jansen,14.5,29.51,"Planetographic, +East, -180 - 180",3168.7901193236207
﻿Rima Krieger,29.29,-46.26,"Planetographic, +East, -180 - 180",3617.272472096792
﻿Rima Laplace,48.0,-26.0,"Planetographic, +East, -180 - 180",4184.622358532629
﻿Rima Louville,47.61,-51.54,"Planetographic, +East, -180 - 180",4172.79625186721
﻿Rima Mairan,38.28,-46.83,"Planetographic, +East, -180 - 180",3889.879392409896
﻿Rima Marcello,18.59,27.74,"Planetographic, +East, -180 - 180",3292.812622558392
﻿Rima Marco Polo,15.4,-2.0,"Planetographic, +East, -180 - 180",3196.081134705356
﻿Rima Marius,16.37,-49.54,"Planetographic, +East, -180 - 180",3225.4947846167806
﻿Rima Messier,-0.76,44.55,"Planetographic, +East, -180 - 180",2706.0557918511
﻿Rima Milichius,8.03,-32.87,"Planetographic, +East, -180 - 180",2972.5980420793735
﻿Rima Newcomb,29.9,43.8,"Planetographic, +East, -180 - 180",3635.769715855524
﻿Rima Oppolzer,-1.53,1.28,"Planetographic, +East, -180 - 180",2682.7068120245044
﻿Rima Ptolemaeus,-9.2,-1.8,"Planetographic, +East, -180 - 180",2450.126714271278
﻿Rima Reaumur,-2.84,2.47,"Planetographic, +East, -180 - 180",2642.9832229688686
﻿Rima Reiko,18.55,27.71,"Planetographic, +East, -180 - 180",3291.5996885414265
﻿Rima Rudolf,19.71,29.62,"Planetographic, +East, -180 - 180",3326.7747750334393
﻿Rima Schroter,26.0,-51.0,"Planetographic, +East, -180 - 180",3517.50864920134
﻿Rima Schroter,1.28,-6.25,"Planetographic, +East, -180 - 180",2767.9154267163644
﻿Rima Sharp,46.02,-50.36,"Planetographic, +East, -180 - 180",4124.5821246928135
﻿Rima Sheepshanks,58.28,23.69,"Planetographic, +East, -180 - 180",4496.346400892885
﻿Rima Siegfried,-25.82,103.01,"Planetographic, +East, -180 - 180",1946.1526302219138
﻿Rima Suess,6.62,-47.14,"Planetographic, +East, -180 - 180",2929.8421179813226
﻿Rima Sung Mei,24.59,11.28,"Planetographic, +East, -180 - 180",3474.7527251032893
﻿Rima T  Mayer,13.26,-31.37,"Planetographic, +East, -180 - 180",3131.1891647976754
﻿Rima Vladimir,25.2,-0.75,"Planetographic, +East, -180 - 180",3493.2499688620205
﻿Rima Wan Yu,19.98,-31.43,"Planetographic, +East, -180 - 180",3334.9620796479603
﻿Rima Widmannstatten,-6.1,85.5,"Planetographic, +East, -180 - 180",2544.1291005861417
﻿Rima Yangel,16.62,4.79,"Planetographic, +East, -180 - 180",3233.0756222228183
﻿Rima Zahia,25.02,-30.46,"Planetographic, +East, -180 - 180",3487.7917657856733
